Station Name,City,State,ZIP,Latitude,Longitude
ORIGINAL GO MDOT STATION 01,Roseville,MN,55113,45.01222,-93.164797
INDIGO @ BCS INDIGO @ BCS,Bloomington,MN,55425,44.858024,-93.224655
HY VEE COTTAGE GROVE E,Cottage Grove,MN,55016,44.83077,-92.958853
U OF M - MORRIS MORRIS 001,Morris,MN,56267,45.592028,-95.899303
Elk River Utilities,Elk River,MN,55330,45.303389,-93.568336
NUPUC1 NUPUC1,New Ulm,MN,56073,44.31573,-94.459497
HY VEE SHAKOPEE NORTH,Shakopee,MN,55379,44.778888,-93.538625
MINNESOTA STATE LOT 11A - 2,Mankato,MN,56001,44.1467,-94.001695
MILL ST RAMP MILL ST RAMP 2,Wayzata,MN,55391,44.969753,-93.510652
Hopkins Parking Ramp,Hopkins,MN,55343,44.923553,-93.413391
1600 SPRUCETREE SPRUCE TREE2,Saint Paul,MN,55104,44.955329,-93.167577
CITY OF OLIVIA OLIVIA EV STOP,Olivia,MN,56277,44.776888,-94.988415
ERMU STATIONS STATION 2,Elk River,MN,55330,45.304112,-93.600473
LANESBORO BASS POND 01,Lanesboro,MN,55949,43.720512,-91.979085
University of Minnesota Dual,Minneapolis,MN,55455,44.973875,-93.230153
PUBLIC STATIONS MPLS PARK & REC,Minneapolis,MN,55411,45.000535,-93.277189
University of Minnesota - Morris,Morris,MN,56267,45.594972,-95.878988
THE LIBERTY STATION 1,Minneapolis,MN,55427,45.005577,-93.378769
The Arrowwood Lodge at Brainerd Lake - Tesla Supercharger,Baxter,MN,56401,46.378836,-94.256378
The Holiday Inn - Tesla Supercharger,Duluth,MN,55802,46.784467,-92.10232
Tobies Restaurant - Tesla Supercharger,Hinckley,MN,55037,46.009797,-92.93137
Hy-Vee - Tesla Supercharger,Oakdale,MN,55128,44.964892,-92.961249
Hy-Vee - Tesla Supercharger,Rochester,MN,55902,44.006337,-92.470924
Ground Round Grill & Bar - Tesla Supercharger,Worthington,MN,56187,43.63385,-95.595647
HY VEE RBNSDALE SOUTH,Robbinsdale,MN,55422,45.01931,-93.327033
GOLDEN VALLEY CITY HALL,Golden Valley,MN,55427,44.986962,-93.379762
AC Marriott,Golden Valley,MN,55416,44.969248,-93.343472
Red Wing - Public Parking Lot,Red Wing,MN,55066,44.565955,-92.533975
Noodles and Co,Moorhead,MN,56560,46.849465,-96.76724
Holiday inn Austin Conference Center - Tesla Destination,Austin,MN,55912,43.68223,-92.98115
Invictus Brewing Company - Tesla Destination,Blaine,MN,55449,45.161348,-93.219438
TownePlace Suites Minneapolis Mall of America - Tesla Destination,Bloomington,MN,55425,44.857096,-93.236489
"Staybridge Suites Minneapolis-Bloomington, an IHG Hotel - Tesla Destination",Bloomington,MN,55437,44.855752,-93.348927
Hampton Inn Minneapolis Bloomington West - Tesla Destination,Bloomington,MN,55437,44.855327,-93.351803
AC Hotel by Marriott Bloomington Mall of America - Tesla Destination,Bloomington,MN,55425,44.85603,-93.236595
Buck Hill Ski Area - Tesla Destination,Burnsville,MN,55306,44.72496,-93.283437
GrandStay Hotel & Suites Cannon Falls - Tesla Destination,Cannon Falls,MN,55009,44.483338,-92.910632
White Eagle Resort - Tesla Destination,Cook,MN,55723,47.939779,-92.66405
Ludlow's Island Resort - Tesla Destination,Cook,MN,55723,47.898277,-92.555854
Hilton Garden Inn Minneapolis Eagan - Tesla Destination,Eagan,MN,55122,44.788633,-93.206451
Staybridge Suites Eagan Arpt South - Mall Area - Tesla Destination,Eagan,MN,55122,44.787819,-93.20867
Edina Galleria - Tesla Destination,Edina,MN,55435,44.877645,-93.322056
Adventure Inn - Tesla Destination,Ely,MN,55731,47.903447,-91.849141
Old Log Theatre with Cast & Cru Restaurant - Tesla Destination,Excelsior,MN,55331,44.910286,-93.558302
Holiday Inn Express Golden Valley - Tesla Destination,Golden Valley,MN,55416,44.971359,-93.356472
Bearskin Lodge - Tesla Destination,Grand Marais,MN,55604,48.035938,-90.406258
Clay Coyote Gallery & Pottery - Tesla Destination,Hutchinson,MN,55350,44.964373,-94.349992
Holiday Inn Hotel & Suites St. Paul NE - Tesla Destination,Lake Elmo,MN,55042,44.951908,-92.93233
Machine Shed Restaurant Lake Elmo - Tesla Destination,Lake Elmo,MN,55042,44.951306,-92.933065
AmericInn Hotel & Conference Center - Tesla Destination,Mankato,MN,56001,44.145641,-93.990879
Kato Escape Room - Tesla Destination,Mankato,MN,56001,44.162203,-94.007453
Courtyard By Marriott Hotel & Event Center - Tesla Destination,Mankato,MN,56001,44.174765,-93.957133
Courtyard by Marriott Maple Grove / Arbor Lakes - Tesla Destination,Maple Grove,MN,55369,45.092325,-93.429771
Hampton Inn Minneapolis NW Maple Grove - Tesla Destination,Maple Grove,MN,55369,45.09426,-93.44621
Sleep Inn & Suites Marshall - Tesla Destination,Marshall,MN,56258,44.4412,-95.783063
Hyatt Regency Minneapolis - Tesla Destination,Minneapolis,MN,55403,44.970602,-93.278264
Crowne Plaza Minneapolis Northstar Downtown - Tesla Destination,Minneapolis,MN,55402,44.976151,-93.269278
Hampton Inn & Suites Minneapolis West/ Minnetonka - Tesla Destination,Minnetonka,MN,55305,44.973207,-93.414931
GrandStay Hotel & Suites Montevideo - Tesla Destination,Montevideo,MN,56265,44.951355,-95.704417
Dacotah Ridge Golf Club - Tesla Destination,Morton,MN,56270,44.501035,-94.931049
Jackpot Junction Casino - Tesla Destination,Morton,MN,56270,44.53053,-94.998086
Homewood Suites by Hilton Minneapolis-New Brighton - Tesla Destination,New Brighton,MN,55415,45.078577,-93.187271
Parkview Medical Clinic - Tesla Destination,New Prague,MN,56071,44.544042,-93.558248
Owatonna Public Utilities - Tesla Destination,Owatonna,MN,55060,44.086181,-93.227351
Holiday Inn & Suites Owatonna - Tesla Destination,Owatonna,MN,55060,44.136626,-93.254645
St. James Hotel - Tesla Destination,Red Wing,MN,55066,44.565877,-92.535965
TownePlace Suites by Marriott Rochester - Tesla Destination,Rochester,MN,55901,44.068469,-92.506496
La Quinta Inn & Suites Rochester - Tesla Destination,Rochester,MN,55904,43.960275,-92.462611
Home2 Suites by Hilton Roseville Minneapolis - Tesla Destination,Roseville,MN,55113,45.023612,-93.185827
Holiday Inn Express Roseville-St. Paul - Tesla Destination,Roseville,MN,55113,45.022644,-93.193257
Holiday Inn Express & Suites Minneapolis SW - Shakop - Tesla Destination,Shakopee,MN,55379,44.784313,-93.461923
Grandstay New London - Tesla Destination,Spicer,MN,56288,45.21202,-94.95565
AC Hotel by Marriott Minneapolis West End - Tesla Destination,St Louis Park,MN,55416,44.96936,-93.3442
Hampton Inn & Suites Downtown St. Paul - Tesla Destination,St. Paul,MN,55102,44.943732,-93.103125
Timberlake Hotel - Tesla Destination,Staples,MN,56479,46.355184,-94.782643
Wild Mountain Ski & Snow Board Area - Tesla Destination,Taylors Falls,MN,55084,45.488811,-92.705093
Lutsen Resort - Tesla Destination,Tofte,MN,55615,47.636469,-90.70809
